text,language,text_length,tokens,extracted_features
भरत सरकरचय नदण वभगचय १९९१ कलमनसर भरतत ककण उलयतलय लकच सखय १७६०६०७ आस,kok,103,"['भरत', 'सरकरचय', 'नदण', 'वभगचय', '१९९१', 'कलमनसर', 'भरतत', 'ककण', 'उलयतलय', 'लकच', 'सखय', '१७६०६०७', 'आस']","{'word_length': 4.230769230769231, 'sentence_length': 13.0, 'char_ngrams': 65, 'prefix_suffix_count': 24, 'unique_roots_count': 13}"
ஒனபதம நறறணடல சழரகள மணடம ஆடசகக வநதனர,ta,58,"['ஒனபதம', 'நறறணடல', 'சழரகள', 'மணடம', 'ஆடசகக', 'வநதனர']","{'word_length': 5.0, 'sentence_length': 6.0, 'char_ngrams': 33, 'prefix_suffix_count': 12, 'unique_roots_count': 6}"
परण वरण एक अकषर ह अरध म अननसक वरण परण वरण अनसवर उचचरण हद अरध म म वरण अघ ह वरण पछ हदछ,ne,117,"['परण', 'वरण', 'एक', 'अकषर', 'ह', 'अरध', 'म', 'अननसक', 'वरण', 'परण', 'वरण', 'अनसवर', 'उचचरण', 'हद', 'अरध', 'म', 'म', 'वरण', 'अघ', 'ह', 'वरण', 'पछ', 'हदछ']","{'word_length': 2.6956521739130435, 'sentence_length': 23.0, 'char_ngrams': 82, 'prefix_suffix_count': 28, 'unique_roots_count': 14}"
ഇപപഴ പരയഗതതലളള 150ലധക മലയള വകകകൾ സഘകല കതകളൽ നനന കണടതതയടടണട,ml,93,"['ഇപപഴ', 'പരയഗതതലളള', '150ലധക', 'മലയള', 'വകകകൾ', 'സഘകല', 'കതകളൽ', 'നനന', 'കണടതതയടടണട']","{'word_length': 5.555555555555555, 'sentence_length': 9.0, 'char_ngrams': 56, 'prefix_suffix_count': 18, 'unique_roots_count': 9}"
एतत आरथकपरगमपञचरषटरष अयमप अनयतम दश,sa,53,"['एतत', 'आरथकपरगमपञचरषटरष', 'अयमप', 'अनयतम', 'दश']","{'word_length': 6.0, 'sentence_length': 5.0, 'char_ngrams': 32, 'prefix_suffix_count': 8, 'unique_roots_count': 5}"
ଲକସବ ଭବନର ଉଭୟ ଓଡଶ ଓ ଆନଧର ମଖୟମନତରଙକ ମଧୟର ୬ଟ ଗରତୱପରଣଣ ପରସଙଗ ଉପର ଆଲଚନ ହଇଥଲ,or,104,"['ଲକସବ', 'ଭବନର', 'ଉଭୟ', 'ଓଡଶ', 'ଓ', 'ଆନଧର', 'ମଖୟମନତରଙକ', 'ମଧୟର', '୬ଟ', 'ଗରତୱପରଣଣ', 'ପରସଙଗ', 'ଉପର', 'ଆଲଚନ', 'ହଇଥଲ']","{'word_length': 4.142857142857143, 'sentence_length': 14.0, 'char_ngrams': 69, 'prefix_suffix_count': 24, 'unique_roots_count': 14}"
इनम स कछ म अतयनत उचच शरण क सहतय क रचन भ हई ह,hi,66,"['इनम', 'स', 'कछ', 'म', 'अतयनत', 'उचच', 'शरण', 'क', 'सहतय', 'क', 'रचन', 'भ', 'हई', 'ह']","{'word_length': 2.2142857142857144, 'sentence_length': 14.0, 'char_ngrams': 42, 'prefix_suffix_count': 12, 'unique_roots_count': 13}"
ಇದರ ಪರಣಮ ಕರನಟಕದ ಮಲ ಇರಲದ ಎದ ಭರತಯ ಹವಮನ ಇಲಖ ಎಚಚರಕ ನಡದ,kn,73,"['ಇದರ', 'ಪರಣಮ', 'ಕರನಟಕದ', 'ಮಲ', 'ಇರಲದ', 'ಎದ', 'ಭರತಯ', 'ಹವಮನ', 'ಇಲಖ', 'ಎಚಚರಕ', 'ನಡದ']","{'word_length': 3.6363636363636362, 'sentence_length': 11.0, 'char_ngrams': 48, 'prefix_suffix_count': 18, 'unique_roots_count': 11}"
नपल भष बलन दशहर शबदकश नपल बहत शबदकश परकशक नपल परजञ परतषठन नपल शबदसगर समपदक वसनतकमर शरमम नपल,ne,138,"['नपल', 'भष', 'बलन', 'दशहर', 'शबदकश', 'नपल', 'बहत', 'शबदकश', 'परकशक', 'नपल', 'परजञ', 'परतषठन', 'नपल', 'शबदसगर', 'समपदक', 'वसनतकमर', 'शरमम', 'नपल']","{'word_length': 4.111111111111111, 'sentence_length': 18.0, 'char_ngrams': 89, 'prefix_suffix_count': 34, 'unique_roots_count': 13}"
हनद शबद क समबनध ससकत शबद सनध स मन जत ह,hi,61,"['हनद', 'शबद', 'क', 'समबनध', 'ससकत', 'शबद', 'सनध', 'स', 'मन', 'जत', 'ह']","{'word_length': 2.5454545454545454, 'sentence_length': 11.0, 'char_ngrams': 36, 'prefix_suffix_count': 12, 'unique_roots_count': 10}"
ચલણ તરક બકનટન ચલણન શરઆત સતમ સદમ ચનમ તગ અન સગ વશજન શસનકળ દરમયન થઈ હત,gu,96,"['ચલણ', 'તરક', 'બકનટન', 'ચલણન', 'શરઆત', 'સતમ', 'સદમ', 'ચનમ', 'તગ', 'અન', 'સગ', 'વશજન', 'શસનકળ', 'દરમયન', 'થઈ', 'હત']","{'word_length': 3.25, 'sentence_length': 16.0, 'char_ngrams': 65, 'prefix_suffix_count': 22, 'unique_roots_count': 16}"
तचयत सरषट फदर थमस सतफनस आसल,kok,43,"['तचयत', 'सरषट', 'फदर', 'थमस', 'सतफनस', 'आसल']","{'word_length': 3.6666666666666665, 'sentence_length': 6.0, 'char_ngrams': 25, 'prefix_suffix_count': 12, 'unique_roots_count': 6}"
മലയള ഭഷയകകറചച ആദയമയ പഠന നടതതനനത സകടടലനഡകരനയ ഭഷ ചരതരകരൻ റബർടട കൾഡവൽ ആണ,ml,105,"['മലയള', 'ഭഷയകകറചച', 'ആദയമയ', 'പഠന', 'നടതതനനത', 'സകടടലനഡകരനയ', 'ഭഷ', 'ചരതരകരൻ', 'റബർടട', 'കൾഡവൽ', 'ആണ']","{'word_length': 5.363636363636363, 'sentence_length': 11.0, 'char_ngrams': 67, 'prefix_suffix_count': 18, 'unique_roots_count': 11}"
around 1430 the court of chancery in westminster began using english in its official documents and a new standard form of middle english known as chancery standard developed from the dialects of london and the east midlands,en,228,"['around', '1430', 'the', 'court', 'of', 'chancery', 'in', 'westminster', 'began', 'using', 'english', 'in', 'its', 'official', 'documents', 'and', 'a', 'new', 'standard', 'form', 'of', 'middle', 'english', 'known', 'as', 'chancery', 'standard', 'developed', 'from', 'the', 'dialects', 'of', 'london', 'and', 'the', 'east', 'midlands']","{'word_length': 5.054054054054054, 'sentence_length': 37.0, 'char_ngrams': 221, 'prefix_suffix_count': 60, 'unique_roots_count': 27}"
इ,mr,2,['इ'],"{'word_length': 1.0, 'sentence_length': 1.0, 'char_ngrams': 0, 'prefix_suffix_count': 0, 'unique_roots_count': 1}"
लगभग १६०० ईसपरवम आरय भरत आए र उततर भरतय कषतरम वदक सभयतक सतरपत गर,ne,87,"['लगभग', '१६००', 'ईसपरवम', 'आरय', 'भरत', 'आए', 'र', 'उततर', 'भरतय', 'कषतरम', 'वदक', 'सभयतक', 'सतरपत', 'गर']","{'word_length': 3.642857142857143, 'sentence_length': 14.0, 'char_ngrams': 62, 'prefix_suffix_count': 22, 'unique_roots_count': 14}"
സ 300ല അശകനറ രണട ശലശസനതതൽ കരളപതര എനന ദശതത പററ പരമർശകകനനണട,ml,88,"['സ', '300ല', 'അശകനറ', 'രണട', 'ശലശസനതതൽ', 'കരളപതര', 'എനന', 'ദശതത', 'പററ', 'പരമർശകകനനണട']","{'word_length': 4.8, 'sentence_length': 10.0, 'char_ngrams': 55, 'prefix_suffix_count': 18, 'unique_roots_count': 10}"
പഴയ തമഴ കടതമഴ ആണ മലയളതതനറ ആദയ രപ എനന കരതനന,ml,67,"['പഴയ', 'തമഴ', 'കടതമഴ', 'ആണ', 'മലയളതതനറ', 'ആദയ', 'രപ', 'എനന', 'കരതനന']","{'word_length': 3.7777777777777777, 'sentence_length': 9.0, 'char_ngrams': 40, 'prefix_suffix_count': 14, 'unique_roots_count': 9}"
اس نے کروڑوں اردو بولنے والے پیدا کردیے ہیں جن کی زبان پنجابی پشتو سندھی بلوچی کشمیری براہوی چترالی وغیرہ میں سے کوئی ایک ہوتی ہے,ur,138,"['اس', 'نے', 'کروڑوں', 'اردو', 'بولنے', 'والے', 'پیدا', 'کردیے', 'ہیں', 'جن', 'کی', 'زبان', 'پنجابی', 'پشتو', 'سندھی', 'بلوچی', 'کشمیری', 'براہوی', 'چترالی', 'وغیرہ', 'میں', 'سے', 'کوئی', 'ایک', 'ہوتی', 'ہے']","{'word_length': 4.0, 'sentence_length': 26.0, 'char_ngrams': 127, 'prefix_suffix_count': 40, 'unique_roots_count': 26}"
दवनगर लपम लखन य भषम २ कसमक वरणमल छन,ne,56,"['दवनगर', 'लपम', 'लखन', 'य', 'भषम', '२', 'कसमक', 'वरणमल', 'छन']","{'word_length': 3.0, 'sentence_length': 9.0, 'char_ngrams': 33, 'prefix_suffix_count': 12, 'unique_roots_count': 9}"
वछ त वजय हईव कडल शबद कननड असन तयच अरथ सगम आह,mr,66,"['वछ', 'त', 'वजय', 'हईव', 'कडल', 'शबद', 'कननड', 'असन', 'तयच', 'अरथ', 'सगम', 'आह']","{'word_length': 2.75, 'sentence_length': 12.0, 'char_ngrams': 42, 'prefix_suffix_count': 18, 'unique_roots_count': 12}"
क वरगक पच अकषर क ख ग घ ङ अरध ङ अननसक वरण कणठय उचचरण,ne,73,"['क', 'वरगक', 'पच', 'अकषर', 'क', 'ख', 'ग', 'घ', 'ङ', 'अरध', 'ङ', 'अननसक', 'वरण', 'कणठय', 'उचचरण']","{'word_length': 2.466666666666667, 'sentence_length': 15.0, 'char_ngrams': 49, 'prefix_suffix_count': 14, 'unique_roots_count': 13}"
தமழநட இநதய மநலஙகளல பரபபளவல ஆவதகவம மககளதகயல ஆறவதகவம வளஙககறத,ta,92,"['தமழநட', 'இநதய', 'மநலஙகளல', 'பரபபளவல', 'ஆவதகவம', 'மககளதகயல', 'ஆறவதகவம', 'வளஙககறத']","{'word_length': 6.375, 'sentence_length': 8.0, 'char_ngrams': 56, 'prefix_suffix_count': 16, 'unique_roots_count': 8}"
పయమహళ సగమ సదరగతతయ భయణ రదదఅటపటరట భణత ఆధరకమర సలయత ఇద ఉదయతనడ పరకత భషల రచచన కవలయమల కథలనద,te,134,"['పయమహళ', 'సగమ', 'సదరగతతయ', 'భయణ', 'రదదఅటపటరట', 'భణత', 'ఆధరకమర', 'సలయత', 'ఇద', 'ఉదయతనడ', 'పరకత', 'భషల', 'రచచన', 'కవలయమల', 'కథలనద']","{'word_length': 4.666666666666667, 'sentence_length': 15.0, 'char_ngrams': 82, 'prefix_suffix_count': 28, 'unique_roots_count': 15}"
भरतदश परजपरभतवतमक,sa,30,"['भरतदश', 'परजपरभतवतमक']","{'word_length': 8.0, 'sentence_length': 2.0, 'char_ngrams': 15, 'prefix_suffix_count': 4, 'unique_roots_count': 2}"
सभ रजय म हनद भष क परयग अधकश परवस हनद भषय दवर आपस म कय जत ह,hi,97,"['सभ', 'रजय', 'म', 'हनद', 'भष', 'क', 'परयग', 'अधकश', 'परवस', 'हनद', 'भषय', 'दवर', 'आपस', 'म', 'कय', 'जत', 'ह']","{'word_length': 2.4705882352941178, 'sentence_length': 17.0, 'char_ngrams': 56, 'prefix_suffix_count': 18, 'unique_roots_count': 15}"
एतदरथ कनदर लकसभ रजयसभ च रजयष वधनसभ वधनपरषचच वरतनत,sa,77,"['एतदरथ', 'कनदर', 'लकसभ', 'रजयसभ', 'च', 'रजयष', 'वधनसभ', 'वधनपरषचच', 'वरतनत']","{'word_length': 4.555555555555555, 'sentence_length': 9.0, 'char_ngrams': 47, 'prefix_suffix_count': 16, 'unique_roots_count': 9}"
అనగ దదప పరత పదమ ఒక అచచత అతమ అవతద,te,49,"['అనగ', 'దదప', 'పరత', 'పదమ', 'ఒక', 'అచచత', 'అతమ', 'అవతద']","{'word_length': 3.125, 'sentence_length': 8.0, 'char_ngrams': 30, 'prefix_suffix_count': 14, 'unique_roots_count': 8}"
परचन कलम य कम चलनम थय कलनतरम य अरबईरन म धर परचलत भय,ne,75,"['परचन', 'कलम', 'य', 'कम', 'चलनम', 'थय', 'कलनतरम', 'य', 'अरबईरन', 'म', 'धर', 'परचलत', 'भय']","{'word_length': 3.0, 'sentence_length': 13.0, 'char_ngrams': 49, 'prefix_suffix_count': 12, 'unique_roots_count': 12}"
ফরসর পশপশ বলও বলর সলতনতর দফতরক ভষ হসব সবকত ছল এব বযপক হর বযবহর হত,bn,103,"['ফরসর', 'পশপশ', 'বলও', 'বলর', 'সলতনতর', 'দফতরক', 'ভষ', 'হসব', 'সবকত', 'ছল', 'এব', 'বযপক', 'হর', 'বযবহর', 'হত']","{'word_length': 3.4, 'sentence_length': 15.0, 'char_ngrams': 63, 'prefix_suffix_count': 20, 'unique_roots_count': 15}"
भरतक दई आधकरक नम छन हनदम भरत र अङगरजम इनडय india,ne,73,"['भरतक', 'दई', 'आधकरक', 'नम', 'छन', 'हनदम', 'भरत', 'र', 'अङगरजम', 'इनडय', 'india']","{'word_length': 3.4545454545454546, 'sentence_length': 11.0, 'char_ngrams': 46, 'prefix_suffix_count': 14, 'unique_roots_count': 11}"
తలగ భషల సమర 10000 పరతన శసనల ఉననయ,te,50,"['తలగ', 'భషల', 'సమర', '10000', 'పరతన', 'శసనల', 'ఉననయ']","{'word_length': 3.7142857142857144, 'sentence_length': 7.0, 'char_ngrams': 30, 'prefix_suffix_count': 14, 'unique_roots_count': 7}"
ਇਸ ਉਪਬਲ ਦ ਵਰਤ ਪਜਬ ਦਆ ਕਤਬ ਲਖਣ ਵਚ ਹਦ ਹ,pa,59,"['ਇਸ', 'ਉਪਬਲ', 'ਦ', 'ਵਰਤ', 'ਪਜਬ', 'ਦਆ', 'ਕਤਬ', 'ਲਖਣ', 'ਵਚ', 'ਹਦ', 'ਹ']","{'word_length': 2.3636363636363638, 'sentence_length': 11.0, 'char_ngrams': 34, 'prefix_suffix_count': 10, 'unique_roots_count': 11}"
یمن چھے ژور امام,ks,17,"['یمن', 'چھے', 'ژور', 'امام']","{'word_length': 3.25, 'sentence_length': 4.0, 'char_ngrams': 14, 'prefix_suffix_count': 8, 'unique_roots_count': 4}"
स,mr,1,['स'],"{'word_length': 1.0, 'sentence_length': 1.0, 'char_ngrams': 0, 'prefix_suffix_count': 0, 'unique_roots_count': 1}"
40 ರಷಟ ಪರಶಷಟ ಜತ ಮತತ ಪರಶಷಟ ಪಗಡದವರಗ ಶ,kn,53,"['40', 'ರಷಟ', 'ಪರಶಷಟ', 'ಜತ', 'ಮತತ', 'ಪರಶಷಟ', 'ಪಗಡದವರಗ', 'ಶ']","{'word_length': 3.5, 'sentence_length': 8.0, 'char_ngrams': 33, 'prefix_suffix_count': 10, 'unique_roots_count': 7}"
తలగ భష మటలడ పరతనన ఆధర రజల మదగ పరపలచడ వలల ఆధర తలగ అనన పదల సమనరథకలగ మరపయయన కతమద ఊహగన,te,139,"['తలగ', 'భష', 'మటలడ', 'పరతనన', 'ఆధర', 'రజల', 'మదగ', 'పరపలచడ', 'వలల', 'ఆధర', 'తలగ', 'అనన', 'పదల', 'సమనరథకలగ', 'మరపయయన', 'కతమద', 'ఊహగన']","{'word_length': 3.8823529411764706, 'sentence_length': 17.0, 'char_ngrams': 80, 'prefix_suffix_count': 32, 'unique_roots_count': 15}"
پشپ اختر محی الدی کٲشر ڈکشنری جموں اینڈ کشمیر اکیڈیمی آف آرٹ کلچر اینڈ لینگویجزر س,ks,89,"['پشپ', 'اختر', 'محی', 'الدی', 'کٲشر', 'ڈکشنری', 'جموں', 'اینڈ', 'کشمیر', 'اکیڈیمی', 'آف', 'آرٹ', 'کلچر', 'اینڈ', 'لینگویجزر', 'س']","{'word_length': 4.1875, 'sentence_length': 16.0, 'char_ngrams': 80, 'prefix_suffix_count': 28, 'unique_roots_count': 15}"
آئین ہند کے مطابق اسے 22 دفتری شناخت زبانوں میں شامل کیا جاچکا ہے,ur,66,"['آئین', 'ہند', 'کے', 'مطابق', 'اسے', '22', 'دفتری', 'شناخت', 'زبانوں', 'میں', 'شامل', 'کیا', 'جاچکا', 'ہے']","{'word_length': 3.7142857142857144, 'sentence_length': 14.0, 'char_ngrams': 63, 'prefix_suffix_count': 22, 'unique_roots_count': 14}"
चनदरधर शरम गलर न इस अवहटठ क परन हनद नम दय,hi,66,"['चनदरधर', 'शरम', 'गलर', 'न', 'इस', 'अवहटठ', 'क', 'परन', 'हनद', 'नम', 'दय']","{'word_length': 2.8181818181818183, 'sentence_length': 11.0, 'char_ngrams': 39, 'prefix_suffix_count': 12, 'unique_roots_count': 11}"
सहशरषमदर रषटरचहनम,sa,33,"['सहशरषमदर', 'रषटरचहनम']","{'word_length': 8.0, 'sentence_length': 2.0, 'char_ngrams': 15, 'prefix_suffix_count': 4, 'unique_roots_count': 2}"
वरष तदभरत नम भरत यतर सनतत,sa,37,"['वरष', 'तदभरत', 'नम', 'भरत', 'यतर', 'सनतत']","{'word_length': 3.3333333333333335, 'sentence_length': 6.0, 'char_ngrams': 23, 'prefix_suffix_count': 10, 'unique_roots_count': 6}"
ప,te,2,['ప'],"{'word_length': 1.0, 'sentence_length': 1.0, 'char_ngrams': 0, 'prefix_suffix_count': 0, 'unique_roots_count': 1}"
যথকরম বকতর পরতমখয ও আভমখয বঝত গয ও সয এস অসমপক করযপদ অনসরগরপ বযবহর,bn,109,"['যথকরম', 'বকতর', 'পরতমখয', 'ও', 'আভমখয', 'বঝত', 'গয', 'ও', 'সয', 'এস', 'অসমপক', 'করযপদ', 'অনসরগরপ', 'বযবহর']","{'word_length': 3.7857142857142856, 'sentence_length': 14.0, 'char_ngrams': 64, 'prefix_suffix_count': 18, 'unique_roots_count': 13}"
भरतसय इतहस समपरणभरतखणडसय तननम इदननतनभरतसय पकसतनसय बङगलदशसय शरलङकदशसय नपलदशसय भतनदशसय च इतहस अनतरभत,sa,153,"['भरतसय', 'इतहस', 'समपरणभरतखणडसय', 'तननम', 'इदननतनभरतसय', 'पकसतनसय', 'बङगलदशसय', 'शरलङकदशसय', 'नपलदशसय', 'भतनदशसय', 'च', 'इतहस', 'अनतरभत']","{'word_length': 6.615384615384615, 'sentence_length': 13.0, 'char_ngrams': 96, 'prefix_suffix_count': 24, 'unique_roots_count': 12}"
এই বষয ঘইক ছযট মত পৱ যয,as,35,"['এই', 'বষয', 'ঘইক', 'ছযট', 'মত', 'পৱ', 'যয']","{'word_length': 2.4285714285714284, 'sentence_length': 7.0, 'char_ngrams': 21, 'prefix_suffix_count': 6, 'unique_roots_count': 7}"
اوس غٲر وابستہ تحریک سند رہنمہ,ks,40,"['اوس', 'غٲر', 'وابستہ', 'تحریک', 'سند', 'رہنمہ']","{'word_length': 4.166666666666667, 'sentence_length': 6.0, 'char_ngrams': 28, 'prefix_suffix_count': 12, 'unique_roots_count': 6}"
nan,ml,0,[],"{'word_length': 3.0, 'sentence_length': 1.0, 'char_ngrams': 1, 'prefix_suffix_count': 2, 'unique_roots_count': 1}"
तय करणन हई लडइ सहतय आकदम चय मकर दवरल,kok,56,"['तय', 'करणन', 'हई', 'लडइ', 'सहतय', 'आकदम', 'चय', 'मकर', 'दवरल']","{'word_length': 3.111111111111111, 'sentence_length': 9.0, 'char_ngrams': 34, 'prefix_suffix_count': 12, 'unique_roots_count': 9}"
പലവകകകള നലവൽ മലയളതതൽ ഉപയഗകകനനത എനനൽ തമഴൽ പരയഗതതലലലതതതമണ,ml,88,"['പലവകകകള', 'നലവൽ', 'മലയളതതൽ', 'ഉപയഗകകനനത', 'എനനൽ', 'തമഴൽ', 'പരയഗതതലലലതതതമണ']","{'word_length': 7.0, 'sentence_length': 7.0, 'char_ngrams': 53, 'prefix_suffix_count': 14, 'unique_roots_count': 7}"
nan,ne,0,[],"{'word_length': 3.0, 'sentence_length': 1.0, 'char_ngrams': 1, 'prefix_suffix_count': 2, 'unique_roots_count': 1}"
many of the grammatical features that a modern reader of shakespeare might find quaint or archaic represent the distinct characteristics of early modern english,en,161,"['many', 'of', 'the', 'grammatical', 'features', 'that', 'a', 'modern', 'reader', 'of', 'shakespeare', 'might', 'find', 'quaint', 'or', 'archaic', 'represent', 'the', 'distinct', 'characteristics', 'of', 'early', 'modern', 'english']","{'word_length': 5.708333333333333, 'sentence_length': 24.0, 'char_ngrams': 158, 'prefix_suffix_count': 38, 'unique_roots_count': 20}"
ഏ,ml,2,['ഏ'],"{'word_length': 1.0, 'sentence_length': 1.0, 'char_ngrams': 0, 'prefix_suffix_count': 0, 'unique_roots_count': 1}"
गयत १९६७ वरस दवरल जचय मतत गयक वगल परत दवरल,kok,72,"['गयत', '१९६७', 'वरस', 'दवरल', 'जचय', 'मतत', 'गयक', 'वगल', 'परत', 'दवरल']","{'word_length': 3.3, 'sentence_length': 10.0, 'char_ngrams': 40, 'prefix_suffix_count': 20, 'unique_roots_count': 9}"
عامر خان چھ آكھ بارتی فلمی اداکار سردار ولبھ بھای پٹیل اوس اکھ ہندوستٲنؠ رہنمہ ؤکیل تہ سیاست دان,ks,117,"['عامر', 'خان', 'چھ', 'آكھ', 'بارتی', 'فلمی', 'اداکار', 'سردار', 'ولبھ', 'بھای', 'پٹیل', 'اوس', 'اکھ', 'ہندوستٲنؠ', 'رہنمہ', 'ؤکیل', 'تہ', 'سیاست', 'دان']","{'word_length': 4.105263157894737, 'sentence_length': 19.0, 'char_ngrams': 94, 'prefix_suffix_count': 34, 'unique_roots_count': 19}"
இலஙக நடடடன கடலவழ எலலயக கணடளளத,ta,47,"['இலஙக', 'நடடடன', 'கடலவழ', 'எலலயக', 'கணடளளத']","{'word_length': 5.0, 'sentence_length': 5.0, 'char_ngrams': 27, 'prefix_suffix_count': 10, 'unique_roots_count': 5}"
ப,ta,2,['ப'],"{'word_length': 1.0, 'sentence_length': 1.0, 'char_ngrams': 0, 'prefix_suffix_count': 0, 'unique_roots_count': 1}"
नपल भष नपलक समपरक भष तथ भरत भटन र मयनमरक कह भगम मतभषक रपम बलन भष ह,ne,104,"['नपल', 'भष', 'नपलक', 'समपरक', 'भष', 'तथ', 'भरत', 'भटन', 'र', 'मयनमरक', 'कह', 'भगम', 'मतभषक', 'रपम', 'बलन', 'भष', 'ह']","{'word_length': 2.9411764705882355, 'sentence_length': 17.0, 'char_ngrams': 64, 'prefix_suffix_count': 20, 'unique_roots_count': 15}"
இநதய மதத உளநடட உறபததககப பஙகளபபதல இரணடவதகவம உளளத,ta,74,"['இநதய', 'மதத', 'உளநடட', 'உறபததககப', 'பஙகளபபதல', 'இரணடவதகவம', 'உளளத']","{'word_length': 5.857142857142857, 'sentence_length': 7.0, 'char_ngrams': 45, 'prefix_suffix_count': 14, 'unique_roots_count': 7}"
କବଳ ଘରଇ ନହ ବଦଶ ପଚର ମଧୟ ଜତବକ ଦଳ ଉତସହର ପରପରଣଣ,or,68,"['କବଳ', 'ଘରଇ', 'ନହ', 'ବଦଶ', 'ପଚର', 'ମଧୟ', 'ଜତବକ', 'ଦଳ', 'ଉତସହର', 'ପରପରଣଣ']","{'word_length': 3.4, 'sentence_length': 10.0, 'char_ngrams': 41, 'prefix_suffix_count': 16, 'unique_roots_count': 10}"
modern english developed mainly from mercian but the scots language developed from northumbrian,en,97,"['modern', 'english', 'developed', 'mainly', 'from', 'mercian', 'but', 'the', 'scots', 'language', 'developed', 'from', 'northumbrian']","{'word_length': 6.384615384615385, 'sentence_length': 13.0, 'char_ngrams': 93, 'prefix_suffix_count': 26, 'unique_roots_count': 11}"
اہل تشیع یا شیعیت عربی شيعة چھ اکھ مزہب,ks,44,"['اہل', 'تشیع', 'یا', 'شیعیت', 'عربی', 'شيعة', 'چھ', 'اکھ', 'مزہب']","{'word_length': 3.4444444444444446, 'sentence_length': 9.0, 'char_ngrams': 37, 'prefix_suffix_count': 14, 'unique_roots_count': 9}"
य शललखच उललख इ,mr,23,"['य', 'शललखच', 'उललख', 'इ']","{'word_length': 2.75, 'sentence_length': 4.0, 'char_ngrams': 12, 'prefix_suffix_count': 4, 'unique_roots_count': 4}"
the great vowel shift explains many irregularities in spelling since english retains many spellings from middle english and it also explains why english vowel letters have very different pronunciations from the same letters in other languages,en,244,"['the', 'great', 'vowel', 'shift', 'explains', 'many', 'irregularities', 'in', 'spelling', 'since', 'english', 'retains', 'many', 'spellings', 'from', 'middle', 'english', 'and', 'it', 'also', 'explains', 'why', 'english', 'vowel', 'letters', 'have', 'very', 'different', 'pronunciations', 'from', 'the', 'same', 'letters', 'in', 'other', 'languages']","{'word_length': 5.75, 'sentence_length': 36.0, 'char_ngrams': 240, 'prefix_suffix_count': 66, 'unique_roots_count': 26}"
తలగ అకషరమల చడడనక దన సమప దయదయన కననడ అకషరమల వలన కనపసతద,te,80,"['తలగ', 'అకషరమల', 'చడడనక', 'దన', 'సమప', 'దయదయన', 'కననడ', 'అకషరమల', 'వలన', 'కనపసతద']","{'word_length': 4.3, 'sentence_length': 10.0, 'char_ngrams': 50, 'prefix_suffix_count': 18, 'unique_roots_count': 9}"
కననడ తలగ అకషరమలల చలవరక దగగరగ వటయ,te,51,"['కననడ', 'తలగ', 'అకషరమలల', 'చలవరక', 'దగగరగ', 'వటయ']","{'word_length': 4.5, 'sentence_length': 6.0, 'char_ngrams': 30, 'prefix_suffix_count': 12, 'unique_roots_count': 6}"
এছড ভরতর ঝডখণড বহর মঘলয মজরম উডষয রজযগলত উললখযগয পরমণ বলভষ জনগণ রযছ,bn,112,"['এছড', 'ভরতর', 'ঝডখণড', 'বহর', 'মঘলয', 'মজরম', 'উডষয', 'রজযগলত', 'উললখযগয', 'পরমণ', 'বলভষ', 'জনগণ', 'রযছ']","{'word_length': 4.230769230769231, 'sentence_length': 13.0, 'char_ngrams': 65, 'prefix_suffix_count': 26, 'unique_roots_count': 13}"
ਨਵ ਪਜਬ ਸਬਦਵਲ ਹਰ ਭਸਵ ਜਵ ਹਦ ਫਰਸ ਅਤ ਅਗਰਜ ਤ ਪਰਭਵਤ ਹ ਹਰ ਉਤਰ ਭਰਤ ਭਸਵ ਵਗ ਇਸ ਦ ਵ ਵਕਸ ਸਸਕਰਤ ਤ ਹਇਆ ਹ,pa,150,"['ਨਵ', 'ਪਜਬ', 'ਸਬਦਵਲ', 'ਹਰ', 'ਭਸਵ', 'ਜਵ', 'ਹਦ', 'ਫਰਸ', 'ਅਤ', 'ਅਗਰਜ', 'ਤ', 'ਪਰਭਵਤ', 'ਹ', 'ਹਰ', 'ਉਤਰ', 'ਭਰਤ', 'ਭਸਵ', 'ਵਗ', 'ਇਸ', 'ਦ', 'ਵ', 'ਵਕਸ', 'ਸਸਕਰਤ', 'ਤ', 'ਹਇਆ', 'ਹ']","{'word_length': 2.5, 'sentence_length': 26.0, 'char_ngrams': 88, 'prefix_suffix_count': 24, 'unique_roots_count': 22}"
ह सदद ईथओफय थउन आइल नवगरवर आसल,kok,46,"['ह', 'सदद', 'ईथओफय', 'थउन', 'आइल', 'नवगरवर', 'आसल']","{'word_length': 3.4285714285714284, 'sentence_length': 7.0, 'char_ngrams': 28, 'prefix_suffix_count': 12, 'unique_roots_count': 7}"
हनद भष क इतहस लगभग एक सहसर वरष परन मन गय ह,hi,61,"['हनद', 'भष', 'क', 'इतहस', 'लगभग', 'एक', 'सहसर', 'वरष', 'परन', 'मन', 'गय', 'ह']","{'word_length': 2.5833333333333335, 'sentence_length': 12.0, 'char_ngrams': 40, 'prefix_suffix_count': 12, 'unique_roots_count': 12}"
